Иванов;Иван;М;10 км;55:20
Киркорова;Алёна;Ж;10 км;57:15
Павлов;Никита;М;10 км;54:39
Штепсель;Инна;Ж;10 км;52:15
Штейн;Геннадий;М;10 км;51:01
Евдокимова;Ольга;Ж;10 км;53:59
Нурланов;Азамат;М;10 км;58:01
Абдурахманова;Гульназ;Ж;10 км;53:33
Клубков;Владимир;М;10 км;50:45
Иванова;Анна;Ж;10 км;52:39
Герасимов;Антон;М;10 км;56:56
Шарапова;Арина;Ж;10 км;51:27
Николаев;Илья;М;10 км;53:40
Зуева;Анна;Ж;10 км;55:55
Рябков;Ерёма;М;10 км;54:59
Щупова;Евгения;Ж;5 км;40:00
Зуев;Артём;М;5 км;30:00
Царёва;Анастасия;Ж;5 км;32:33
Причуда;Виталий;М;5 км;35:17
Рожкова;Зинаида;Ж;5 км;33:10
Гуляшов;Никита;М;5 км;32:45
Дьякова;Мария;Ж;5 км;37:59
Ульянов;Владимир;М;5 км;39:21
Инди;Елена;Ж;5 км;38:11
Клеев;Иван;М;5 км;30:13
Рупова;Ирина;Ж;5 км;31:43
Газманов;Олег;М;5 км;36:36
Шейн;Татьяна;Ж;5 км;32:29
Сухарев;Леонид;М;5 км;34:45
Туманова;Любовь;Ж;5 км;35:59
